#,ambientTemperature(*C),ambientTemperaturePMSensor(*C),DateTime,Date,hour
336,23.44,22.8,7/10/2024 20:45,7/10/2024,20
337,23.35,22.74,7/10/2024 20:48,7/10/2024,20
338,23.38,22.69,7/10/2024 20:51,7/10/2024,20
339,23.46,22.68,7/10/2024 20:55,7/10/2024,20
340,23.37,22.68,7/10/2024 20:58,7/10/2024,20
341,23.34,22.65,7/10/2024 21:01,7/10/2024,21
342,23.29,22.59,7/10/2024 21:05,7/10/2024,21
343,23.21,22.51,7/10/2024 21:09,7/10/2024,21
344,23.21,22.51,7/10/2024 21:12,7/10/2024,21
345,23.17,22.49,7/10/2024 21:15,7/10/2024,21
346,23.13,22.43,7/10/2024 21:18,7/10/2024,21
347,23.14,22.42,7/10/2024 21:21,7/10/2024,21
348,23.1,22.39,7/10/2024 21:25,7/10/2024,21
349,23.1,22.37,7/10/2024 21:28,7/10/2024,21
350,23.1,22.36,7/10/2024 21:31,7/10/2024,21
351,23.15,22.38,7/10/2024 21:34,7/10/2024,21
352,23.11,22.36,7/10/2024 21:37,7/10/2024,21
353,23.11,22.36,7/10/2024 21:41,7/10/2024,21
354,23.07,22.34,7/10/2024 21:44,7/10/2024,21
355,23.07,22.33,7/10/2024 21:47,7/10/2024,21
356,23.03,22.36,7/10/2024 21:50,7/10/2024,21
357,23.08,22.38,7/10/2024 21:53,7/10/2024,21
358,23.04,22.37,7/10/2024 21:57,7/10/2024,21
359,23.01,22.35,7/10/2024 22:00,7/10/2024,22
360,23.04,22.33,7/10/2024 22:03,7/10/2024,22
361,23.08,22.33,7/10/2024 22:06,7/10/2024,22
362,23,22.3,7/10/2024 22:09,7/10/2024,22
363,23.1,22.28,7/10/2024 22:13,7/10/2024,22
364,23.07,22.27,7/10/2024 22:16,7/10/2024,22
365,23.03,22.25,7/10/2024 22:19,7/10/2024,22
366,23,22.25,7/10/2024 22:22,7/10/2024,22
367,22.98,22.25,7/10/2024 22:26,7/10/2024,22
368,23.03,22.25,7/10/2024 22:29,7/10/2024,22
369,23.06,22.27,7/10/2024 22:32,7/10/2024,22
370,22.97,22.27,7/10/2024 22:35,7/10/2024,22
371,22.96,22.25,7/10/2024 22:39,7/10/2024,22
372,22.98,22.27,7/10/2024 22:42,7/10/2024,22
373,23.03,22.32,7/10/2024 22:45,7/10/2024,22
374,23.04,22.32,7/10/2024 22:48,7/10/2024,22
375,23.03,22.33,7/10/2024 22:51,7/10/2024,22
376,23.03,22.32,7/10/2024 22:55,7/10/2024,22
377,23.01,22.33,7/10/2024 22:58,7/10/2024,22
378,23.06,22.36,7/10/2024 23:02,7/10/2024,23
379,23.04,22.37,7/10/2024 23:05,7/10/2024,23
380,23.08,22.37,7/10/2024 23:08,7/10/2024,23
381,23.1,22.4,7/10/2024 23:11,7/10/2024,23
382,23.11,22.42,7/10/2024 23:15,7/10/2024,23
383,23.1,22.43,7/10/2024 23:18,7/10/2024,23
384,22.96,22.25,7/10/2024 23:23,7/10/2024,23
385,22.98,22.15,7/10/2024 23:26,7/10/2024,23
